Name;Abk;Fläche;Ein-;Bev.-;Spra-;Hauptort;Ein-
Aargau;AG;1404;645'000;459;d;Aarau;20'000
Appenzell Ausserrhoden;AR;243;54'000;222;d;Herisau;15'000
Appenzell Innerrhoden;AI;173;15'000;87;d;Appenzell;5'000
Basel-Land;BL;518;281'000;542;d;Liestal;13'000
Basel-Stadt;BS;37;190'000;5135;d;Basel;167'000
Bern;BE;5959;1'009'000;169;d,f;Bern;128'000
Fribourg;FR;1671;303'000;181;f,d;Fribourg;37'000
Genève;GE;282;477'000;1691;f;Genève;191'000
Glarus;GL;685;39'000;57;d;Glarus;17'000
Graubünden;GR;7105;195'000;27;d,r,i;Chur;34'000
Jura;JU;839;72'000;86;f;Delémont;12'000
Luzern;LU;1494;394'000;264;d;Luzern;73'000
Neuchâtel;NE;803;177'000;220;f;Neuchâtel;33'000
Nidwalden;NW;276;42'000;152;d;Stans;8'000
Obwalden;OW;491;36'000;73;d;Sarnen;10'000
St.Gallen;SG;2026;495'000;244;d;St. Gallen;74'000
Schaffhausen;SH;299;79'000;264;d;Schaffhausen;36'000
Schwyz;SZ;908;152'000;167;d;Schwyz;14'000
Solothurn;SO;791;263'000;332;d;Solothurn;16'000
Thurgau;TG;991;263'000;265;d;Frauenfeld;24'000
Ticino;TI;2813;350'000;124;i;Bellinzona;17'000
Uri;UR;1077;36'000;33;d;Altdorf;9'000
Vaud;VD;3212;761'000;237;f;Lausanne;132'000
Valais;VS;5225;331'000;63;f,d;Sion;32'000
Zug;ZG;239;120'000;502;d;Zug;27'000
Zürich;ZH;1729;1'446'000;836;d;Zürich;
